,0
834,26.8
835,26.6
836,25.4
837,20.3
838,16.8
839,10.7
840,3.6
841,3.8
842,5.6
843,9.9
844,14.1
845,18.1
846,21.6
847,21.9
848,19.3
849,14.2
850,10.9
851,4.6
852,57.3
853,42.9
854,94.6
855,29.0
856,141.8
857,204.9
858,137.5
859,578.4
860,34.2
861,60.2
862,115.6
863,56.4
864,8.9
865,9.3
866,11.2
867,18.6
868,22.8
869,24.7
870,31.2
871,30.8
872,26.1
873,21.6
874,18.0
875,11.8
876,3.1
877,4.1
878,4.8
879,12.0
880,15.1
881,17.9
882,25.7
883,25.4
884,19.7
885,15.7
886,11.8
887,6.6
888,37.5
889,46.0
890,43.5
891,106.5
892,24.8
893,342.3
894,72.3
895,365.3
896,94.0
897,271.1
898,17.1
899,28.5
900,8.4
901,9.3
902,13.4
903,16.5
904,20.8
905,23.0
906,29.3
907,31.8
908,25.1
909,21.5
910,15.4
911,9.2
912,3.7
913,4.4
914,6.6
915,9.4
916,13.0
917,17.5
918,23.3
919,25.6
920,19.8
921,15.4
922,8.9
923,4.6
924,52.2
925,55.1
926,61.3
927,72.9
928,136.0
929,100.9
930,413.2
931,336.9
932,121.2
933,66.8
934,33.8
935,22.6
936,8.6
937,7.3
938,12.2
939,15.6
940,21.9
941,26.6
942,28.6
943,30.0
944,26.2
945,21.1
946,15.7
947,12.4
948,3.3
949,1.7
950,5.6
951,8.7
952,14.3
953,19.6
954,22.7
955,24.9
956,20.1
957,14.8
958,10.4
959,6.0
960,29.9
961,21.2
962,114.1
963,35.5
964,57.2
965,223.7
966,48.7
967,111.7
968,7.8
969,100.7
970,78.8
971,51.8
972,7.8
973,10.0
974,13.2
975,17.7
976,22.9
977,26.0
978,29.5
979,29.2
980,25.7
981,21.5
982,17.3
983,11.6
984,2.7
985,3.9
986,7.2
987,11.1
988,15.8
989,19.8
990,24.3
991,24.3
992,20.5
993,14.9
994,11.3
995,6.7
996,23.8
997,26.6
998,72.1
999,170.8
1000,74.6
1001,79.2
1002,108.3
1003,161.3
1004,44.8
1005,4.5
1006,157.5
1007,76.0
1008,9.0
1009,11.7
1010,12.7
1011,19.8
1012,22.4
1013,24.4
1014,30.4
1015,31.3
1016,26.9
1017,22.6
1018,16.8
1019,12.1
1020,4.4
1021,6.1
1022,6.9
1023,12.9
1024,15.6
1025,19.0
1026,24.5
1027,25.5
1028,21.8
1029,16.9
1030,9.7
1031,6.1
1032,170.2
1033,59.7
1034,110.4
1035,196.2
1036,116.5
1037,228.2
1038,111.5
1039,75.0
1040,413.0
1041,70.1
1042,19.6
1043,10.7
1044,9.5
1045,10.2
1046,14.0
1047,18.4
1048,22.0
1049,24.9
1050,26.6
1051,28.0
1052,26.9
1053,22.0
1054,16.0
1055,10.9
1056,4.1
1057,4.0
1058,7.1
1059,11.0
1060,14.9
1061,19.0
1062,21.9
1063,23.6
1064,22.2
1065,15.6
1066,10.3
1067,4.8
1068,84.0
1069,62.4
1070,110.4
1071,37.5
1072,79.0
1073,204.0
1074,706.0
1075,642.8
1076,508.0
1077,41.2
1078,24.9
1079,25.8
1080,8.5
1081,7.3
1082,12.9
1083,17.6
1084,21.2
1085,25.1
1086,29.7
1087,30.9
1088,24.6
1089,21.0
1090,15.5
1091,11.8
1092,3.4
1093,2.1
1094,5.9
1095,9.7
1096,13.9
1097,18.7
1098,23.8
1099,25.0
1100,19.7
1101,15.5
1102,9.6
1103,5.2
1104,60.0
1105,16.3
1106,43.5
1107,32.8
1108,46.2
1109,97.6
1110,166.2
1111,169.6
1112,331.2
1113,113.0
1114,93.2
1115,19.8
1116,8.4
1117,10.4
1118,13.6
1119,18.0
1120,22.3
1121,25.5
1122,30.4
1123,29.9
1124,25.5
1125,22.2
1126,15.6
1127,9.6
1128,2.8
1129,3.5
1130,5.9
1131,10.4
1132,15.6
1133,19.7
1134,23.8
1135,24.3
1136,20.8
1137,17.0
1138,9.6
1139,5.1
1140,117.0
1141,81.9
1142,21.9
1143,62.6
1144,105.4
1145,259.7
1146,123.1
1147,233.9
1148,109.7
1149,123.8
1150,42.0
1151,107.6
1152,10.6
1153,10.5
1154,14.7
1155,18.5
1156,20.0
1157,24.9
1158,27.3
1159,28.1
1160,25.2
1161,20.6
1162,13.8
1163,10.7
1164,5.3
1165,4.0
1166,7.9
1167,11.9
1168,15.2
1169,18.8
1170,22.2
1171,23.5
1172,20.1
1173,14.5
1174,7.7
1175,6.3
1176,56.6
1177,33.8
1178,59.4
1179,65.1
1180,141.6
1181,118.6
1182,495.7
1183,356.5
1184,143.9
1185,112.3
1186,18.2
1187,102.4
1188,7.3
1189,9.8
1190,12.7
1191,18.6
1192,21.4
1193,24.9
1194,27.8
1195,29.3
1196,27.3
1197,21.3
1198,17.7
1199,10.9
1200,2.5
1201,4.4
1202,6.2
1203,10.8
1204,15.1
1205,18.8
1206,21.6
1207,23.5
1208,21.2
1209,14.7
1210,11.4
1211,5.7
1212,55.9
1213,64.4
1214,164.0
1215,120.9
1216,284.3
1217,201.9
1218,362.2
1219,245.1
1220,330.4
1221,37.6
1222,112.5
1223,20.0
1224,8.4
1225,12.4
1226,14.2
1227,18.5
1228,22.1
1229,24.7
1230,31.2
1231,30.5
1232,26.3
1233,22.0
1234,17.6
1235,12.4
1236,3.2
1237,4.5
1238,6.2
1239,10.4
1240,14.7
1241,18.8
1242,24.3
1243,24.8
1244,20.9
1245,15.4
1246,10.8
1247,6.6
1248,40.6
1249,48.0
1250,57.7
1251,55.5
1252,124.8
1253,66.1
1254,55.7
1255,405.1
1256,348.5
1257,24.9
1258,51.5
1259,55.4
1260,7.5
1261,8.0
1262,12.2
1263,19.7
1264,22.1
1265,26.6
1266,29.7
1267,30.3
1268,27.9
1269,22.1
1270,17.3
1271,8.6
1272,3.4
1273,3.0
